WTA.plate,Cell_IDs,Family_IDs,Pairs,exclusion,exclusion.criteria,control_group,key_pairs,Type.Exp,Look.Exp,Cells.batch,Relationship,Sister1,Sister2,Cousin1,Cousin2,chr_of_interest,event2,MN_rupt_time_simple,MN.Daughter,MN.Info,MN.rupture.timing..frame...to.total...frames.,comments_by_stam,notes,notes1,notes2,Chromosomal.event..infered.by.analysis.,Notes.on.analysis,Seg.CN.Ratio,imaging.plate,method.notes,treatment,LCM.exp,LookRNAseq.Exp,SS2.Exp,experimental_label,protocol,protocol2,LCM_found_conf,LCM_found_conf2,cDNA.amp,cDNA.amp2,cDNA.QC,further.cDNA.amp,BioA..further.cDNA.amp.,BioA,capture.time,lysis,Lysis.timing..lysis.time.after.time.of.last.cell.division.,Cell.Cycle...h..at.lysis.,X,video,division.timing..division.frame.....total...frames..,Sequencing.A,Sequencing.B,SeqQC_total_reads,SeqQC_._exonic_reads,SeqQC_._genes,mainGroup,abbr_group,cellType1,cellType2,cell.type,cell.type.1,original.384wp,Orig.Imag.384wp,final.384wp,Seq.date,Seq.platform,Seq.kit,filePath,filePath_2nd,Fastq_files,Fastq_files2,Fastq_files3,N_unmapped,N_multimapping,N_noFeature,N_ambiguous,geneCounts,th1,th5,th10,totalReads,WTA.plate2,NTA.plate,Nextera_plate
170223_B7,F37.2,F37,170220A_B6B7,,ambiguous event ,Reinc_in_use,Gen2,LookSeq1,170220_LookRNAsec_Atirf,,A,1,0,NA,NA,chr1,1xMN-->noMN,early NE defect,A,,from beginning,"key1, chr1",,lost MN (frame 50),SS2 directly after lysis,chr1 monosomy?,,2:01,Sep-G5,SS2 directly after lysis,"p53si, noco 6h",,170220_LookRNAsec_Atirf,170223,Reinc_in_use,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170225B-11,,HALF vol,~17.5 h post division,1,NA,Position20,"106-108, (160)",,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,O12,O12,Sep-G5,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_G11_L_155447_BCYates_G11.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170223_B7.R1.fastq.gz,170313_NTA_G11,,,16,8,2,10,64,8339,5922,5246,2722925,170223_B7,170311_NTA_G11,170313_Nextera
170320_A1,S21.1,S21,,,,200cells_control_WT,c200,control_200,170314_Population200control_Lysis,,,NA,NA,NA,NA,,"control, 200 cells",,,,,,,,"frozen lysates, direct lysis to 96wp",,,,A1,"frozen lysates, direct lysis to 96wp",no,,170314_Population200control_Lysis,170320,200cells_control_WT,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324B-2,,HALF vol,,,NA,,,,,,NA,NA,population,,,NA,RPE1,RPE1,,,A1,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A1.R1.fastq.gz,170803_Nextera_1A11,,,9,7,3,9,71,14841,9296,7359,1459695,170320_A1,,170803_Nextera_1A11
170320_A12,F40.1,F40,170320_A12B1,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-C4,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-2,,HALF vol,,,NA,Position2,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,D3,D3,Sep-C4,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A12.R1.fastq.gz,170803_Nextera_1A1,,,14,8,6,8,64,8547,6363,5640,1336776,170320_A12,,170803_Nextera_1A1
170320_A2,S22.1,S22,,,,200cells_control_WT,c200,control_200,170314_Population200control_Lysis,,,NA,NA,NA,NA,,"control, 200 cells",,,,,,,,"frozen lysates, direct lysis to 96wp",,,,A2,"frozen lysates, direct lysis to 96wp",no,,170314_Population200control_Lysis,170320,200cells_control_WT,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324B-3,,HALF vol,,,NA,,,,,,NA,NA,population,c200,,NA,RPE1,RPE1,,,A2,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A2.R1.fastq.gz,170803_Nextera_1A12,,,9,7,3,10,71,15484,9985,8034,1807999,170320_A2,,170803_Nextera_1A12
170320_A3,S23.1,S23,,exclude3_QC,,200cells_control_WT,,control_200,170314_Population200control_Lysis,,,NA,NA,NA,NA,,"control, 200 cells",,,,,,,,"frozen lysates, direct lysis to 96wp",,,,A3,"frozen lysates, direct lysis to 96wp",no,,170314_Population200control_Lysis,170320,200cells_control_WT,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324B-4,,HALF vol,,,NA,,,,,,NA,NA,population,,RPE1,NA,RPE1,RPE1,,,A3,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A3.R1.fastq.gz,170803_Nextera_1B1,,,51,3,2,5,39,489,13,4,1873,170320_A3,,170803_Nextera_1B1
170320_A4,S24.1,S24,,,,200cells_control_WT,c200,control_200,170314_Population200control_Lysis,,,NA,NA,NA,NA,,"control, 200 cells",,,,,,,,"frozen lysates, direct lysis to 96wp",,,,A4,"frozen lysates, direct lysis to 96wp",no,,170314_Population200control_Lysis,170320,200cells_control_WT,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324B-5,,HALF vol,,,NA,,,,,,NA,NA,population,c200,,NA,RPE1,RPE1,,,A4,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A4.R1.fastq.gz,170803_Nextera_1B2,,,6,6,3,11,75,15022,9823,7910,1751348,170320_A4,,170803_Nextera_1B2
170320_A5,S25.1,S25,,,,200cells_control_WT,c200,control_200,170314_Population200control_Lysis,,,NA,NA,NA,NA,,"control, 200 cells",,,,,,,,"frozen lysates, direct lysis to 96wp",,,,A5,"frozen lysates, direct lysis to 96wp",no,,170314_Population200control_Lysis,170320,200cells_control_WT,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324B-6,,HALF vol,,,NA,,,,,,NA,NA,population,c200,,NA,RPE1,RPE1,,,A5,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A5.R1.fastq.gz,170803_Nextera_1B3,,,9,7,3,10,71,15347,9917,7984,1779765,170320_A5,,170803_Nextera_1B3
170320_A6,S26.1,S26,,,,200cells_control_WT,c200,control_200,170314_Population200control_Lysis,,,NA,NA,NA,NA,,"control, 200 cells",,,,,,,,"frozen lysates, direct lysis to 96wp",,,,A6,"frozen lysates, direct lysis to 96wp",no,,170314_Population200control_Lysis,170320,200cells_control_WT,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324B-7,,HALF vol,,,NA,,,,,,NA,NA,population,c200,,NA,RPE1,RPE1,,,A6,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_A6.R1.fastq.gz,170803_Nextera_1B4,,,7,6,3,10,73,14958,9644,7716,1575804,170320_A6,,170803_Nextera_1B4
170320_B10,F41.1,F41,170311c_B10B11,,,control_gen2_notreatment,c2,control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,control,,,,,,,,frozen lysates,,,,Sep-B11,frozen lysates,no,,170311_control_LookRNAsec,170320,control_gen2_notreatment,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170325-1,,HALF vol,,,NA,Position32,,,,,NA,NA,A_level_control,,,NA,RPE1,RPE1,J13,J13,,170406_MiSeq,Miseq v.3,2x75 bp,/czlab/etai/ExperimentsData/Stamatis//170407_M01209_0030_000000000-B634T/170406-A3_S3_L001_R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B10.R1.fastq.gz,170406-A3_S3_L001,,,3,5,1,11,79,8487,7116,6601,2082674,170320_B10,170406_A3,170407_MiSeq
170320_B11,F41.2,F41,170311c_B10B11,,,control_gen2_notreatment,c2,control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,control,,,,,,,,frozen lysates,,,,Sep-B13,frozen lysates,no,,170311_control_LookRNAsec,170320,control_gen2_notreatment,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170325-2,,HALF vol,,,NA,Position32,,,,,NA,NA,A_level_control,,,NA,RPE1,RPE1,J13,J13,,170406_MiSeq,Miseq v.3,2x75 bp,/czlab/etai/ExperimentsData/Stamatis//170407_M01209_0030_000000000-B634T/170406-A4_S4_L001_R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B11.R1.fastq.gz,170406-A4_S4_L001,,,3,5,1,11,79,8656,7242,6725,2055832,170320_B11,170406_A4,170407_MiSeq
170320_B1,F40.2,F40,170320_A12B1,exclude3_QC,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-C5,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-3,,HALF vol,,,NA,Position2,,,,,NA,NA,B_level_control,,RPE1,NA,RPE1,RPE1,D3,D3,Sep-C5,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B1.R1.fastq.gz,170803_Nextera_1A2,,,91,3,2,0,4,1313,158,113,596599,170320_B1,,170803_Nextera_1A2
170323_A1,F46.1,F46,170320_A1A2,exclude_nc,,noco_gen2_noMN,nc2,control_noMN_LookSeq1,170320_LookRNAsec,,,NA,NA,NA,NA,,noMN-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-B3,SS2 directly after lysis,"p53si, noco 6h",,170320_LookRNAsec,170323,noco_gen2_noMN,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324A-1,,HALF vol,,,NA,Position7,,,,,NA,NA,B_level_control,nc2,,NA,RPE1,RPE1,B20,B20,,170406_MiSeq,Miseq v.3,2x75 bp,/czlab/etai/ExperimentsData/Stamatis//170407_M01209_0030_000000000-B634T/170406-A5_S5_L001_R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170323_A1.R1.fastq.gz,170406-A5_S5_L001,,,3,5,3,10,79,9839,8237,7560,2479394,170323_A1,170406_A5,170407_MiSeq
170323_A2,F46.2,F46,170320_A1A2,exclude_nc,,noco_gen2_noMN,nc2,control_noMN_LookSeq1,170320_LookRNAsec,,,NA,NA,NA,NA,,noMN-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-B4,SS2 directly after lysis,"p53si, noco 6h",,170320_LookRNAsec,170323,noco_gen2_noMN,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324A-2,,HALF vol,,,NA,Position7,,,,,NA,NA,B_level_control,nc2,,NA,RPE1,RPE1,B20,B20,,170406_MiSeq,Miseq v.3,2x75 bp,/czlab/etai/ExperimentsData/Stamatis//170407_M01209_0030_000000000-B634T/170406-A6_S6_L001_R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170323_A2.R1.fastq.gz,170406-A6_S6_L001,,,5,7,3,10,76,8440,6359,5735,2755163,170323_A2,170406_A6,170407_MiSeq
170320_B2,F42.1,F42,170320_B2B3,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-D1,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-4,,HALF vol,,,NA,Positio4,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,D7,D7,Sep-D1,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B2.R1.fastq.gz,170803_Nextera_1A3,,,12,7,8,8,65,12631,9464,7914,1386108,170320_B2,,170803_Nextera_1A3
170320_B3,F42.2,F42,170320_B2B3,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-D3,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-5,,HALF vol,,,NA,Positio4,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,D7,D7,Sep-D3,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B3.R1.fastq.gz,170803_Nextera_1A4,,,12,7,2,9,69,10595,8131,7119,1460458,170320_B3,,170803_Nextera_1A4
170320_B4,F43.1,F43,170320_B4B5,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-F2,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-6,,HALF vol,,,NA,Position16,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,E3,E3,Sep-F2,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B4.R1.fastq.gz,170803_Nextera_1A5,,,12,7,3,9,69,11401,8778,7641,1584501,170320_B4,,170803_Nextera_1A5
170320_B5,F43.2,F43,170320_B4B5,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-F5,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-7,,HALF vol,,,NA,Position16,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,E3,E3,Sep-F5,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B5.R1.fastq.gz,170803_Nextera_1A6,,,10,7,5,10,68,11840,8955,7566,1424709,170320_B5,,170803_Nextera_1A6
170320_B6,F44.1,F44,170320_B6B7,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-G2,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-8,,HALF vol,,,NA,Position18,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,F3,F3,Sep-G2,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B6.R1.fastq.gz,170803_Nextera_1A7,,,13,8,2,10,67,8654,6490,5768,1616057,170320_B6,,170803_Nextera_1A7
170320_B7,F44.2,F44,170320_B6B7,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-G4,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-9,,HALF vol,,,NA,Position18,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,F3,F3,Sep-G4,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B7.R1.fastq.gz,170803_Nextera_1A8,,,12,7,3,9,69,8876,6720,6030,1639266,170320_B7,,170803_Nextera_1A8
170320_B8,F45.1,F45,170320_B8B9,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-H3,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-10,,HALF vol,,,NA,Position22,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,F10,F10,Sep-H3,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B8.R1.fastq.gz,170803_Nextera_1A9,,,11,7,2,10,71,8925,6885,6126,1695572,170320_B8,,170803_Nextera_1A9
170320_B9,F45.2,F45,170320_B8B9,,,p53_gen2_noMN,53c2,siP53_control_LookSeq1,170311_control_LookRNAsec,,,NA,NA,NA,NA,,p53_control,,,,,,,,frozen lysates,,,,Sep-H4,frozen lysates,,,170311_control_LookRNAsec,170320,p53_gen2_noMN,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324C-11,,HALF vol,,,NA,Position22,,,,,NA,NA,B_level_control,53c2,,NA,RPE1,RPE1,F10,F10,Sep-H4,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170320_B9.R1.fastq.gz,170803_Nextera_1A10,,,11,7,1,10,71,9085,7029,6239,1425561,170320_B9,,170803_Nextera_1A10
170323_A3,F47.1,F47,170320_A3A4,exclude_nc,,noco_gen2_noMN,nc2,control_noMN_LookSeq1,170320_LookRNAsec,,,NA,NA,NA,NA,,noMN-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-G1,SS2 directly after lysis,"p53si, noco 6h",,170320_LookRNAsec,170323,noco_gen2_noMN,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324A-3,,HALF vol,,,NA,Position22,,,,,NA,NA,B_level_control,nc2,,NA,RPE1,RPE1,E7,E7,,170406_MiSeq,Miseq v.3,2x75 bp,/czlab/etai/ExperimentsData/Stamatis//170407_M01209_0030_000000000-B634T/170406-B1_S7_L001_R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170323_A3.R1.fastq.gz,170406-B1_S7_L001,,,3,6,3,10,79,9609,7937,7397,2902279,170323_A3,170406_B1,170407_MiSeq
170323_A4,F47.2,F47,170320_A3A4,exclude_nc,,noco_gen2_noMN,nc2,control_noMN_LookSeq1,170320_LookRNAsec,,,NA,NA,NA,NA,,noMN-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-G2,SS2 directly after lysis,"p53si, noco 6h",,170320_LookRNAsec,170323,noco_gen2_noMN,clon v.4 - half vol,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324A-4,,HALF vol,,,NA,Position22,,,,,NA,NA,B_level_control,nc2,,NA,RPE1,RPE1,E7,E7,,170406_MiSeq,Miseq v.3,2x75 bp,/czlab/etai/ExperimentsData/Stamatis//170407_M01209_0030_000000000-B634T/170406-B2_S8_L001_R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170323_A4.R1.fastq.gz,170406-B2_S8_L001,,,3,5,2,10,80,9421,7832,7288,2849926,170323_A4,170406_B2,170407_MiSeq
171020_1C,F71.1,F71,171020_1C1D,,,noco_LCM,Gen1,LookSeq2,171002_LCMLookRNAseq,,A,1,0,NA,NA,chr1,noco->1+0xMN,early NE defect,A,MN,,,,"MN???, NLS defective?",,"chr18 more than 1, chr1p defect","chr18 alA in MN  defect (2+/1), chr1p defect (2+/1)",,,,,171003_LCM,,NA,noco_LCM,clon v.4,,NA,NA,21 cycles,,NA,NA,NA,,,,,"1, 18",NA,Region4,,,171110_MiSeq,,NA,NA,,,,NA,RPE1,RPE1,,,,171110_MiSeq,Miseq v.3,2x75 bp,,,171020-1C_S3_L001,,,2,4,1,13,80,6472,5019,4734,1899214,,,
171020_1D,F71.2,F71,171020_1C1D,,,noco_LCM,Gen1,LookSeq2,171002_LCMLookRNAseq,,B,0,1,NA,NA,chr1,noco->1+0xMN,early NE defect,A,,,,,,,chr18 alB monosomy,,,,,,171003_LCM,,NA,noco_LCM,clon v.4,,NA,NA,21 cycles,,NA,NA,NA,,,,,"1, 18",NA,Region4,,,171110_MiSeq,,NA,NA,,,,NA,RPE1,RPE1,,,,171110_MiSeq,Miseq v.3,2x75 bp,,,171020-1D_S4_L001,,,3,4,2,13,78,6267,4953,4667,1686673,,,
170323_B4,F48.1,F48,170323_B4B5,exclude3_QC,seqQC/no_pairing,maybe_reinc_not_in_use,,LookSeq1,170320_LookRNAsec,,,NA,NA,NA,NA,,(1x)MN-->noMN,,,,,,,mother MN: extruded,SS2 directly after lysis,,,,Sep-M2,SS2 directly after lysis,,,170320_LookRNAsec,170323,maybe_reinc_not_in_use,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324A-10,,HALF vol,,,NA,Position42,,,,,NA,NA,observed_MN_event,,RPE1,NA,RPE1,RPE1,M2,M2,Sep-M2,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170323_B4.R1.fastq.gz,170803_Nextera_1B5,,,27,8,7,7,51,1298,60,18,4410,170323_B4,,170803_Nextera_1B5
170323_B5,F48.2,F48,170323_B4B5,exclude3,seqQC/no_pairing,maybe_reinc_not_in_use,,LookSeq1,170320_LookRNAsec,,,NA,NA,NA,NA,,(1x)MN-->noMN,,,,,,,mother MN: extruded,SS2 directly after lysis,,,,Sep-M3,SS2 directly after lysis,,,170320_LookRNAsec,170323,maybe_reinc_not_in_use,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170324A-11,,HALF vol,,,NA,Position42,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,M2,M2,Sep-M3,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170323_B5.R1.fastq.gz,170803_Nextera_1B6,,,12,7,2,9,70,9754,7534,6723,1711275,170323_B5,,170803_Nextera_1B6
170407_A1,S29.1,S29,,exclude3_QC,,control_WT_facs,c3,control_LookSeq1,170407_trisomies,,,NA,NA,NA,NA,,ATCC control,,,,,,,,FACS sorted in lysis buf- SS2 directly after lysis,,,,N/A,FACS sorted in lysis buf- SS2 directly after lysis,,,170407_trisomies,170407,control_WT_facs,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170421A-1,,HALF vol,,,NA,N/A,,,,,NA,NA,C_level_control,c,,NA,RPE1,RPE1,N/A,N/A,N/A,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170407_A1.R1.fastq.gz,170803_Nextera_1B7,,,19,7,1,9,64,3249,529,214,19071,170407_A1,,170803_Nextera_1B7
170407_A10,S30.1,S30,,,,control_WT_facs,c3,control_LookSeq1,170407_trisomies,,,NA,NA,NA,NA,,ATCC control,,,,,,,,FACS sorted in lysis buf- SS2 directly after lysis,,,,N/A,FACS sorted in lysis buf- SS2 directly after lysis,,,170407_trisomies,170407,control_WT_facs,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,,,HALF vol,,,NA,N/A,,,,,NA,NA,C_level_control,c,,NA,RPE1,RPE1,N/A,N/A,N/A,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170407_A10.R1.fastq.gz,170803_Nextera_1C4,,,6,5,4,10,76,10677,8230,7322,1636866,170407_A10,,170803_Nextera_1C4
170407_A11,S31.1,S31,,,,control_WT_facs,c3,control_LookSeq1,170407_trisomies,,,NA,NA,NA,NA,,ATCC control,,,,,,,,FACS sorted in lysis buf- SS2 directly after lysis,,,,N/A,FACS sorted in lysis buf- SS2 directly after lysis,,,170407_trisomies,170407,control_WT_facs,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,,,HALF vol,,,NA,N/A,,,,,NA,NA,C_level_control,c,,NA,RPE1,RPE1,N/A,N/A,N/A,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170407_A11.R1.fastq.gz,170803_Nextera_1C5,,,7,6,4,10,75,10372,7900,6997,1667787,170407_A11,,170803_Nextera_1C5
170407_A12,S32.1,S32,,,,control_WT_facs,c3,control_LookSeq1,170407_trisomies,,,NA,NA,NA,NA,,ATCC control,,,,,,,,FACS sorted in lysis buf- SS2 directly after lysis,,,,N/A,FACS sorted in lysis buf- SS2 directly after lysis,,,170407_trisomies,170407,control_WT_facs,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,,,HALF vol,,,NA,N/A,,,,,NA,NA,C_level_control,c,,NA,RPE1,RPE1,N/A,N/A,N/A,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170407_A12.R1.fastq.gz,170803_Nextera_1C6,,,7,6,4,10,74,9849,7510,6559,1498923,170407_A12,,170803_Nextera_1C6
170407_A2,S33.1,S33,,,,control_WT_facs,c3,control_LookSeq1,170407_trisomies,,,NA,NA,NA,NA,,ATCC control,,,,,,,,FACS sorted in lysis buf- SS2 directly after lysis,,,,N/A,FACS sorted in lysis buf- SS2 directly after lysis,,,170407_trisomies,170407,control_WT_facs,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170421A-2,,HALF vol,,,NA,N/A,,,,,NA,NA,C_level_control,c,,NA,RPE1,RPE1,N/A,N/A,N/A,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170407_A2.R1.fastq.gz,170803_Nextera_1B8,,,10,6,4,9,71,10377,7801,6814,1532167,170407_A2,,170803_Nextera_1B8
170407_A3,S34.1,S34,,,,control_WT_facs,c3,control_LookSeq1,170407_trisomies,,,NA,NA,NA,NA,,ATCC control,,,,,,,,FACS sorted in lysis buf- SS2 directly after lysis,,,,N/A,FACS sorted in lysis buf- SS2 directly after lysis,,,170407_trisomies,170407,control_WT_facs,clon v.4,clon v.4,NA,NA,21 cycles,21 cycles,NA,NA,NA,170421A-3,,HALF vol,,,NA,N/A,,,,,NA,NA,C_level_control,c,,NA,RPE1,RPE1,N/A,N/A,N/A,170828_HiSeq,HiSeq Rapid v.2,2x100 bp,,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170407_A3.R1.fastq.gz,170803_Nextera_1B9,,,10,6,3,9,71,9239,6811,5855,956675,170407_A3,,170803_Nextera_1B9
